heure,zone,consommation_moyenne_kwh,consommation_totale_kwh,nb_pdl
12,Coteaux-Ouest,0.7967333333333334,119.51,5
12,Parc-Tertiaire,10.0685,1208.22,4
12,Plateau-Est,0.38791666666666663,46.55,4
12,Rives-Sud,0.8445,101.34,4
12,Val-Nord,1.0712000000000002,160.68,5
12,Zone-Industrielle,18.296833333333332,2195.62,4
13,Bourg-Ancien,2.804666666666667,84.14,1
13,Centre-Ville,0.6008888888888889,54.08,3
13,Coteaux-Ouest,0.8061999999999999,120.92999999999999,5
13,Parc-Tertiaire,10.311666666666667,1237.4,4
13,Plateau-Est,0.3895,46.74,4
13,Rives-Sud,0.8544166666666667,102.53,4
13,Val-Nord,1.0450666666666666,156.76,5
13,Zone-Industrielle,19.309583333333332,2317.15,4
14,Bourg-Ancien,1.1296666666666666,33.89,1
14,Centre-Ville,0.24433333333333332,21.99,3
14,Coteaux-Ouest,0.33913333333333334,50.87,5
14,Parc-Tertiaire,4.052666666666666,486.32,4
14,Plateau-Est,0.18583333333333335,22.3,4
14,Rives-Sud,0.3456666666666667,41.480000000000004,4
14,Val-Nord,0.44213333333333327,66.32,5
14,Zone-Industrielle,7.645,917.4,4
15,Bourg-Ancien,1.1643333333333332,34.93,1
15,Centre-Ville,0.24711111111111114,22.240000000000002,3
15,Coteaux-Ouest,0.3322666666666667,49.84,5
15,Parc-Tertiaire,4.187333333333333,502.48,4
15,Plateau-Est,0.18483333333333332,22.18,4
15,Rives-Sud,0.34091666666666665,40.91,4
15,Val-Nord,0.44586666666666663,66.88,5
15,Zone-Industrielle,7.56875,908.25,4
16,Bourg-Ancien,1.131,33.93,1
16,Centre-Ville,0.24488888888888888,22.04,3
16,Coteaux-Ouest,0.3303333333333333,49.55,5
16,Parc-Tertiaire,4.071,488.52,4
16,Plateau-Est,0.18925,22.71,4
16,Rives-Sud,0.3478333333333333,41.74,4
16,Val-Nord,0.4523333333333333,67.85,5
16,Zone-Industrielle,7.7084166666666665,925.01,4
17,Bourg-Ancien,4.1530000000000005,124.59,1
17,Centre-Ville,0.8911111111111112,80.2,3
17,Coteaux-Ouest,1.1784,176.76,5
17,Parc-Tertiaire,14.948083333333333,1793.77,4
17,Plateau-Est,0.5589999999999999,67.08,4
17,Rives-Sud,1.2551666666666668,150.62,4
17,Val-Nord,1.5805333333333333,237.08,5
17,Zone-Industrielle,28.653333333333332,3438.4,4
18,Bourg-Ancien,4.277,128.31,1
18,Centre-Ville,0.9075555555555557,81.68,3
18,Coteaux-Ouest,1.1718000000000002,175.77,5
18,Parc-Tertiaire,15.353583333333335,1842.43,4
18,Plateau-Est,0.5685833333333333,68.23,4
18,Rives-Sud,1.2745833333333332,152.95,4
18,Val-Nord,1.5737333333333334,236.06,5
18,Zone-Industrielle,28.867416666666667,3464.09,4
19,Bourg-Ancien,4.301666666666667,129.05,1
19,Centre-Ville,0.8980000000000001,80.82000000000001,3
19,Coteaux-Ouest,1.1815333333333333,177.23,5
19,Parc-Tertiaire,15.218333333333334,1826.2,4
19,Plateau-Est,0.5575,66.9,4
19,Rives-Sud,1.297,155.64,4
19,Val-Nord,1.5776,236.64,5
19,Zone-Industrielle,28.654999999999998,3438.6,4
20,Bourg-Ancien,4.182666666666667,125.48,1
20,Centre-Ville,0.9023333333333332,81.21,3
20,Coteaux-Ouest,1.2051333333333334,180.77,5
20,Parc-Tertiaire,15.631666666666666,1875.8,4
20,Plateau-Est,0.57475,68.97,4
20,Rives-Sud,1.25975,151.17,4
20,Val-Nord,1.5770000000000002,236.55,5
20,Zone-Industrielle,28.413666666666664,3409.64,4
21,Bourg-Ancien,1.7046666666666668,51.14,1
21,Centre-Ville,0.5231111111111111,47.08,3
21,Coteaux-Ouest,0.7094,106.41,5
21,Parc-Tertiaire,6.0921666666666665,731.06,4
21,Plateau-Est,0.5646666666666668,67.76,4
21,Rives-Sud,0.7380833333333333,88.57,4
21,Val-Nord,0.9042,135.63,5
21,Zone-Industrielle,11.298416666666666,1355.81,4
22,Bourg-Ancien,0.46900000000000003,14.07,1
22,Centre-Ville,0.13855555555555557,12.47,3
22,Coteaux-Ouest,0.2088,31.32,5
22,Parc-Tertiaire,1.6241666666666668,194.9,4
22,Plateau-Est,0.18841666666666665,22.61,4
22,Rives-Sud,0.20708333333333334,24.85,4
22,Val-Nord,0.27133333333333337,40.7,5
22,Zone-Industrielle,3.034666666666667,364.16,4
23,Bourg-Ancien,0.4613333333333333,13.84,1
23,Centre-Ville,0.1411111111111111,12.7,3
23,Coteaux-Ouest,0.21306666666666668,31.96,5
23,Parc-Tertiaire,1.6110833333333334,193.33,4
23,Plateau-Est,0.18525,22.23,4
23,Rives-Sud,0.21041666666666667,25.25,4
23,Val-Nord,0.2726,40.89,5
23,Zone-Industrielle,3.112,373.44,4
